Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
dispensing_tube_rack,0.33690422773361206,"[123.0, 30.0, 368.0, 479.0]","[-57.0, 9.0, 434.0]","[-146.0, -153.0, 440.0]","[342.0, -1652.0, 4747.0]","[-93.0, 110.0, 280.0]","[50.0, 272.0, 695.0]"
dispensing_tube_rack,0.4112362265586853,"[131.0, 31.0, 368.0, 480.0]","[-0.0, 0.0, 0.0]","[-142.0, -154.0, 446.0]","[377.0, -1813.0, 5234.0]","[-88.0, 109.0, 277.0]","[50.0, 272.0, 695.0]"
blood_tube,0.28530290722846985,"[405.0, 146.0, 440.0, 199.0]","[345.0, -244.0, 2141.0]","[460.0, -543.0, 3460.0]","[950.0, -781.0, 4979.0]","[286.0, -149.0, 2149.0]","[401.0, -146.0, 2104.0]"
dispensing_tube_rack,0.35450583696365356,"[109.0, 31.0, 368.0, 479.0]","[-63.0, 10.0, 442.0]","[-155.0, -151.0, 436.0]","[420.0, -2020.0, 5832.0]",,"[50.0, 272.0, 693.0]"
dispensing_tube_rack,0.3780495524406433,"[108.0, 31.0, 368.0, 479.0]","[-63.0, 10.0, 442.0]","[-155.0, -150.0, 434.0]","[362.0, -1739.0, 5020.0]",,"[50.0, 272.0, 694.0]"
dispensing_tube_rack,0.32786422967910767,"[119.0, 30.0, 368.0, 479.0]","[-58.0, 9.0, 436.0]","[-149.0, -153.0, 439.0]","[374.0, -1806.0, 5190.0]","[-95.0, 111.0, 282.0]","[50.0, 272.0, 694.0]"
blood_tube,0.28322675824165344,"[405.0, 146.0, 440.0, 199.0]","[344.0, -243.0, 2134.0]","[479.0, -565.0, 3602.0]","[1016.0, -835.0, 5325.0]","[286.0, -149.0, 2149.0]","[400.0, -146.0, 2097.0]"
dispensing_tube_rack,0.31500887870788574,"[115.0, 30.0, 368.0, 479.0]","[-61.0, 9.0, 441.0]","[-151.0, -152.0, 437.0]","[353.0, -1705.0, 4899.0]","[-97.0, 111.0, 282.0]","[50.0, 272.0, 694.0]"
blood_tube,0.3064180016517639,"[405.0, 146.0, 441.0, 198.0]","[348.0, -244.0, 2141.0]","[522.0, -616.0, 3926.0]","[1081.0, -881.0, 5618.0]","[285.0, -152.0, 2141.0]","[406.0, -150.0, 2112.0]"
dispensing_tube_rack,0.36454102396965027,"[126.0, 29.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-144.0, -155.0, 442.0]","[351.0, -1741.0, 4979.0]","[-91.0, 109.0, 279.0]","[49.0, 272.0, 694.0]"
blood_tube,0.3472815454006195,"[405.0, 146.0, 440.0, 198.0]","[346.0, -245.0, 2149.0]","[506.0, -597.0, 3804.0]","[906.0, -745.0, 4747.0]","[287.0, -153.0, 2156.0]","[403.0, -150.0, 2112.0]"
blood_tube,0.4173904359340668,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[513.0, -604.0, 3852.0]","[1034.0, -850.0, 5420.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.35327237844467163,"[133.0, 30.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-141.0, -156.0, 447.0]","[354.0, -1747.0, 5020.0]","[-87.0, 108.0, 276.0]","[49.0, 273.0, 696.0]"
blood_tube,0.4461881220340729,"[405.0, 146.0, 440.0, 198.0]","[345.0, -244.0, 2141.0]","[497.0, -586.0, 3734.0]","[885.0, -728.0, 4639.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
